step 1550, training (test) accuracy 0.225, cost 2.83393
step 1550, training (test) accuracy 0.225, cost 2.83392
step 1550, training (test) accuracy 0.225, cost 2.8339
step 1550, training (test) accuracy 0.225, cost 2.83388
step 1575, training (test) accuracy 0.225, cost 2.83219
step 1575, training (test) accuracy 0.225, cost 2.83218
step 1575, training (test) accuracy 0.225, cost 2.83216
step 1575, training (test) accuracy 0.225, cost 2.83214
step 1600, training (test) accuracy 0.225, cost 2.83047
step 1600, training (test) accuracy 0.225, cost 2.83046
step 1600, training (test) accuracy 0.225, cost 2.83044
step 1600, training (test) accuracy 0.225, cost 2.83043
step 1625, training (test) accuracy 0.225, cost 2.82878
step 1625, training (test) accuracy 0.225, cost 2.82877
step 1625, training (test) accuracy 0.225, cost 2.82875
step 1625, training (test) accuracy 0.225, cost 2.82873
step 1650, training (test) accuracy 0.225, cost 2.82711
step 1650, training (test) accuracy 0.225, cost 2.8271
step 1650, training (test) accuracy 0.225, cost 2.82708
step 1650, training (test) accuracy 0.225, cost 2.82707
step 1675, training (test) accuracy 0.225, cost 2.82547
step 1675, training (test) accuracy 0.225, cost 2.82545
step 1675, training (test) accuracy 0.225, cost 2.82544
step 1675, training (test) accuracy 0.225, cost 2.82542
step 1700, training (test) accuracy 0.225, cost 2.82384
step 1700, training (test) accuracy 0.225, cost 2.82383
step 1700, training (test) accuracy 0.225, cost 2.82381
step 1700, training (test) accuracy 0.225, cost 2.8238
step 1725, training (test) accuracy 0.225, cost 2.82224
step 1725, training (test) accuracy 0.225, cost 2.82222
step 1725, training (test) accuracy 0.225, cost 2.82221
step 1725, training (test) accuracy 0.225, cost 2.82219
step 1750, training (test) accuracy 0.225, cost 2.82066
step 1750, training (test) accuracy 0.225, cost 2.82064
step 1750, training (test) accuracy 0.225, cost 2.82063
step 1750, training (test) accuracy 0.225, cost 2.82061
step 1775, training (test) accuracy 0.225, cost 2.8191
step 1775, training (test) accuracy 0.225, cost 2.81909
step 1775, training (test) accuracy 0.225, cost 2.81907
step 1775, training (test) accuracy 0.225, cost 2.81906
step 1800, training (test) accuracy 0.225, cost 2.81756
step 1800, training (test) accuracy 0.225, cost 2.81755
step 1800, training (test) accuracy 0.225, cost 2.81754
step 1800, training (test) accuracy 0.225, cost 2.81752
step 1825, training (test) accuracy 0.225, cost 2.81605
step 1825, training (test) accuracy 0.225, cost 2.81604
step 1825, training (test) accuracy 0.225, cost 2.81603
step 1825, training (test) accuracy 0.225, cost 2.81601
step 1850, training (test) accuracy 0.225, cost 2.81456
step 1850, training (test) accuracy 0.225, cost 2.81455
step 1850, training (test) accuracy 0.225, cost 2.81453
step 1850, training (test) accuracy 0.225, cost 2.81452
step 1875, training (test) accuracy 0.225, cost 2.81309
step 1875, training (test) accuracy 0.225, cost 2.81308
step 1875, training (test) accuracy 0.225, cost 2.81307
step 1875, training (test) accuracy 0.225, cost 2.81305
step 1900, training (test) accuracy 0.225, cost 2.81164
step 1900, training (test) accuracy 0.225, cost 2.81163
step 1900, training (test) accuracy 0.225, cost 2.81162
step 1900, training (test) accuracy 0.225, cost 2.8116
step 1925, training (test) accuracy 0.225, cost 2.81021
step 1925, training (test) accuracy 0.225, cost 2.8102
step 1925, training (test) accuracy 0.225, cost 2.81019
step 1925, training (test) accuracy 0.225, cost 2.81017
step 1950, training (test) accuracy 0.225, cost 2.80881
step 1950, training (test) accuracy 0.225, cost 2.80879
step 1950, training (test) accuracy 0.225, cost 2.80878
step 1950, training (test) accuracy 0.225, cost 2.80877
step 1975, training (test) accuracy 0.225, cost 2.80742
step 1975, training (test) accuracy 0.225, cost 2.80741
step 1975, training (test) accuracy 0.225, cost 2.8074
step 1975, training (test) accuracy 0.225, cost 2.80738
Finished learning...
0.225
